epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
184,1741.57,1.44072,0.57674,0.79906,0.96342,0.97867,0.97784,0.52421,1.59385,0.60663,0.8023,5.50882e-05,5.50882e-05,5.50882e-05
185,1751.06,1.4693,0.58102,0.80441,0.96287,0.97867,0.9777,0.52303,1.59852,0.60269,0.80231,5.11027e-05,5.11027e-05,5.11027e-05
186,1760.53,1.49906,0.5839,0.79993,0.95939,0.976,0.97626,0.524,1.59813,0.6063,0.80142,4.73538e-05,4.73538e-05,4.73538e-05
187,1770.1,1.4582,0.57942,0.80531,0.96001,0.97867,0.97868,0.52569,1.60047,0.60439,0.80198,4.38424e-05,4.38424e-05,4.38424e-05
188,1779.79,1.46099,0.5752,0.80082,0.96161,0.98133,0.98597,0.52725,1.60005,0.60234,0.80219,4.05694e-05,4.05694e-05,4.05694e-05
189,1789.65,1.45977,0.5903,0.81128,0.96096,0.98133,0.98568,0.5241,1.59607,0.60038,0.80237,3.75356e-05,3.75356e-05,3.75356e-05
190,1798.96,1.46876,0.57266,0.79209,0.96294,0.98133,0.98584,0.52699,1.59953,0.60213,0.8024,3.47418e-05,3.47418e-05,3.47418e-05
191,1817.65,1.42917,0.57449,0.81474,0.95805,0.97867,0.98042,0.5284,1.60342,0.60352,0.80182,3.21885e-05,3.21885e-05,3.21885e-05
192,1826.85,1.44524,0.58022,0.80085,0.95988,0.97867,0.98044,0.52895,1.60317,0.60398,0.80218,2.98766e-05,2.98766e-05,2.98766e-05
193,1836.11,1.44425,0.57374,0.8031,0.95821,0.97867,0.97967,0.52597,1.60206,0.60107,0.8021,2.78064e-05,2.78064e-05,2.78064e-05
194,1845.87,1.46586,0.57488,0.80622,0.96026,0.97867,0.97971,0.5302,1.59728,0.60432,0.80288,2.59787e-05,2.59787e-05,2.59787e-05
195,1855.79,1.45776,0.57415,0.80405,0.96193,0.97867,0.97998,0.53026,1.59712,0.60218,0.8028,2.43937e-05,2.43937e-05,2.43937e-05
196,1865.28,1.44438,0.57053,0.80856,0.96329,0.98133,0.98518,0.52969,1.60401,0.6028,0.80215,2.30518e-05,2.30518e-05,2.30518e-05
197,1874.53,1.50438,0.5878,0.79833,0.96358,0.98133,0.9851,0.52546,1.61064,0.60344,0.80144,2.19535e-05,2.19535e-05,2.19535e-05
198,1883.88,1.46947,0.58131,0.7969,0.96496,0.98133,0.98498,0.52632,1.61108,0.60611,0.8013,2.1099e-05,2.1099e-05,2.1099e-05
199,1893.15,1.45668,0.56857,0.80146,0.96058,0.97867,0.97807,0.52658,1.60565,0.60434,0.80094,2.04885e-05,2.04885e-05,2.04885e-05
200,1902.47,1.45685,0.56583,0.80477,0.96663,0.98133,0.98511,0.5276,1.59663,0.60158,0.80042,2.01221e-05,2.01221e-05,2.01221e-05
