epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,394.916,1.71089,0.72714,0.83162,0.95247,0.9619,0.96744,0.47609,1.71599,0.71675,0.8298,0.00180169,0.00180169,0.00180169
43,404.438,1.70684,0.73364,0.83957,0.94306,0.96267,0.95701,0.46475,1.71614,0.68544,0.82728,0.00179225,0.00179225,0.00179225
44,413.836,1.68013,0.68624,0.82622,0.94253,0.95467,0.95222,0.46892,1.68085,0.67977,0.82699,0.00178263,0.00178263,0.00178263
45,423.692,1.7177,0.73735,0.82785,0.95277,0.968,0.96153,0.48497,1.62529,0.71907,0.81968,0.00177281,0.00177281,0.00177281
46,432.893,1.70301,0.74198,0.82357,0.93289,0.968,0.96019,0.46891,1.68534,0.76827,0.82967,0.0017628,0.0017628,0.0017628
47,442.06,1.75851,0.73095,0.84768,0.9428,0.97333,0.9752,0.4893,1.67873,0.64899,0.83229,0.00175261,0.00175261,0.00175261
48,451.692,1.734,0.70922,0.84283,0.92819,0.97333,0.9719,0.50312,1.64008,0.6715,0.83309,0.00174223,0.00174223,0.00174223
49,460.789,1.70009,0.67933,0.82825,0.97213,0.976,0.9731,0.49873,1.68868,0.62894,0.82877,0.00173168,0.00173168,0.00173168
50,470.432,1.7883,0.71155,0.81971,0.96556,0.97196,0.97599,0.49603,1.68169,0.70534,0.82635,0.00172095,0.00172095,0.00172095
51,480.196,1.74661,0.71895,0.8303,0.9274,0.95375,0.97247,0.51918,1.61243,0.67821,0.82621,0.00171004,0.00171004,0.00171004
52,489.861,1.68471,0.71261,0.8349,0.97586,0.97031,0.98055,0.52042,1.58159,0.68004,0.81768,0.00169895,0.00169895,0.00169895
53,499.403,1.70082,0.72135,0.81717,0.9455,0.97333,0.97295,0.51267,1.64458,0.68187,0.81354,0.0016877,0.0016877,0.0016877
54,508.566,1.67397,0.71056,0.82765,0.95209,0.95389,0.97715,0.5313,1.56378,0.70209,0.81058,0.00167628,0.00167628,0.00167628
55,517.875,1.67041,0.68334,0.82533,0.96296,0.97052,0.97844,0.51737,1.58967,0.6543,0.81455,0.0016647,0.0016647,0.0016647
56,527.711,1.66188,0.6934,0.82791,0.96825,0.97585,0.98354,0.53754,1.58903,0.65013,0.80664,0.00165295,0.00165295,0.00165295
57,536.81,1.6852,0.69026,0.83553,0.96352,0.96533,0.9768,0.50038,1.67935,0.67053,0.82237,0.00164105,0.00164105,0.00164105
58,545.757,1.68978,0.68967,0.83419,0.91592,0.95862,0.95677,0.49187,1.63605,0.75554,0.82211,0.00162899,0.00162899,0.00162899
59,555.094,1.69034,0.7333,0.82866,0.95916,0.976,0.97748,0.49536,1.60871,0.72597,0.8118,0.00161678,0.00161678,0.00161678
60,564.841,1.70576,0.72723,0.83058,0.9608,0.96,0.96705,0.50986,1.61128,0.68466,0.82431,0.00160442,0.00160442,0.00160442
61,574.429,1.65133,0.70357,0.83133,0.97007,0.976,0.98011,0.48578,1.67633,0.68473,0.81249,0.00159191,0.00159191,0.00159191
62,583.89,1.72354,0.70482,0.83997,0.96018,0.96452,0.97428,0.50698,1.6446,0.70049,0.81894,0.00157926,0.00157926,0.00157926
63,593.223,1.68769,0.69693,0.83293,0.9553,0.9689,0.97049,0.50868,1.61097,0.67971,0.81439,0.00156646,0.00156646,0.00156646
64,602.992,1.65905,0.72254,0.81389,0.96559,0.97067,0.97807,0.52521,1.61977,0.65597,0.81076,0.00155353,0.00155353,0.00155353
65,612.523,1.64341,0.69526,0.82595,0.9556,0.96533,0.96171,0.50176,1.6658,0.68648,0.81662,0.00154047,0.00154047,0.00154047
66,622.222,1.66442,0.69689,0.8179,0.95531,0.969,0.96641,0.51846,1.60464,0.67732,0.81065,0.00152727,0.00152727,0.00152727
67,631.896,1.65003,0.68809,0.82328,0.93444,0.968,0.97412,0.53047,1.59126,0.66615,0.80957,0.00151395,0.00151395,0.00151395
68,642.186,1.69001,0.68531,0.81805,0.95249,0.97067,0.9738,0.51415,1.6549,0.6516,0.81134,0.0015005,0.0015005,0.0015005
69,651.763,1.63551,0.69425,0.82066,0.96042,0.9707,0.98319,0.53499,1.55546,0.66894,0.80509,0.00148694,0.00148694,0.00148694
70,661.295,1.63258,0.69157,0.8194,0.96516,0.96048,0.9791,0.52877,1.6095,0.63942,0.81471,0.00147325,0.00147325,0.00147325
71,670.598,1.6557,0.68412,0.83715,0.95702,0.97067,0.97992,0.52331,1.58243,0.64476,0.8074,0.00145945,0.00145945,0.00145945
72,679.972,1.6734,0.6918,0.81584,0.97507,0.976,0.98753,0.50528,1.60715,0.66428,0.81305,0.00144554,0.00144554,0.00144554
73,690.386,1.59939,0.68123,0.82335,0.95152,0.97333,0.97578,0.50951,1.61486,0.6627,0.81297,0.00143152,0.00143152,0.00143152
74,699.475,1.65395,0.69903,0.81344,0.95366,0.968,0.9783,0.52058,1.59821,0.66297,0.80942,0.0014174,0.0014174,0.0014174
75,708.873,1.67167,0.70031,0.80973,0.95578,0.976,0.98713,0.52088,1.61388,0.64845,0.81117,0.00140318,0.00140318,0.00140318
76,718.189,1.67506,0.70532,0.83029,0.95025,0.96783,0.97481,0.50546,1.66486,0.68871,0.80882,0.00138886,0.00138886,0.00138886
77,727.554,1.66376,0.7176,0.81647,0.95774,0.97067,0.98023,0.51665,1.63765,0.66493,0.8099,0.00137444,0.00137444,0.00137444
78,736.926,1.68303,0.71533,0.81509,0.94583,0.95467,0.97878,0.49166,1.63197,0.68038,0.82093,0.00135994,0.00135994,0.00135994
79,746.88,1.67721,0.70386,0.81875,0.95527,0.96823,0.98337,0.50524,1.63265,0.67571,0.80685,0.00134535,0.00134535,0.00134535
80,756.062,1.65019,0.70781,0.81326,0.94779,0.96818,0.97871,0.51636,1.59872,0.65466,0.80552,0.00133068,0.00133068,0.00133068
81,765.244,1.62547,0.68753,0.81494,0.96254,0.95937,0.98059,0.50758,1.59327,0.66802,0.81719,0.00131593,0.00131593,0.00131593
82,774.331,1.63699,0.69569,0.82238,0.97347,0.97864,0.98938,0.52719,1.57863,0.65034,0.80514,0.0013011,0.0013011,0.0013011
83,783.828,1.6377,0.68682,0.83133,0.96324,0.97815,0.98144,0.50553,1.63223,0.66313,0.80703,0.0012862,0.0012862,0.0012862
84,793.284,1.63406,0.68828,0.81624,0.95266,0.98133,0.98706,0.52214,1.59012,0.66784,0.80506,0.00127123,0.00127123,0.00127123
85,803.456,1.62937,0.68932,0.81548,0.96566,0.97474,0.98377,0.5164,1.60293,0.67287,0.80274,0.0012562,0.0012562,0.0012562
86,813.384,1.61879,0.68361,0.81182,0.9599,0.97333,0.98205,0.52829,1.59855,0.65998,0.80824,0.00124111,0.00124111,0.00124111
87,823.324,1.60886,0.66054,0.81057,0.96822,0.968,0.98449,0.53453,1.56312,0.66271,0.81566,0.00122596,0.00122596,0.00122596
88,832.898,1.57952,0.6458,0.81861,0.9603,0.968,0.98493,0.54126,1.60263,0.61638,0.81329,0.00121076,0.00121076,0.00121076
89,842.361,1.63603,0.68878,0.82706,0.94444,0.96533,0.97518,0.51652,1.57569,0.66192,0.80767,0.00119551,0.00119551,0.00119551
90,851.955,1.64877,0.70118,0.81128,0.93315,0.96533,0.9823,0.51756,1.58437,0.66028,0.80703,0.00118021,0.00118021,0.00118021
91,861.038,1.62093,0.68919,0.81643,0.95173,0.96533,0.97721,0.51762,1.61142,0.65625,0.81135,0.00116487,0.00116487,0.00116487
92,870.21,1.64544,0.68968,0.81766,0.95051,0.97067,0.98128,0.51674,1.60496,0.67612,0.8106,0.00114949,0.00114949,0.00114949
93,879.669,1.63381,0.6881,0.80884,0.95326,0.97885,0.98677,0.54305,1.54356,0.63418,0.80352,0.00113408,0.00113408,0.00113408
94,889.533,1.6036,0.65583,0.8299,0.95548,0.97303,0.97834,0.53336,1.55001,0.61957,0.80547,0.00111864,0.00111864,0.00111864
95,899.547,1.63571,0.66719,0.80835,0.9574,0.976,0.98123,0.50137,1.66356,0.65521,0.80418,0.00110317,0.00110317,0.00110317
96,909.566,1.62955,0.67198,0.80672,0.96443,0.976,0.97637,0.53106,1.55901,0.64385,0.81005,0.00108767,0.00108767,0.00108767
97,919.487,1.59443,0.65585,0.82698,0.96584,0.98027,0.97919,0.53111,1.56893,0.6394,0.80796,0.00107216,0.00107216,0.00107216
98,928.783,1.56562,0.64366,0.81305,0.96242,0.98133,0.97986,0.5233,1.58372,0.65752,0.8024,0.00105664,0.00105664,0.00105664
99,937.954,1.59201,0.66393,0.8189,0.9545,0.97067,0.97995,0.52681,1.60832,0.66668,0.81004,0.0010411,0.0010411,0.0010411
100,947.71,1.5957,0.65137,0.80619,0.95787,0.96999,0.97607,0.52931,1.57279,0.63962,0.80892,0.00102555,0.00102555,0.00102555
101,957.471,1.61693,0.66742,0.81992,0.97324,0.96986,0.98817,0.53238,1.58247,0.64637,0.80554,0.00101,0.00101,0.00101
102,966.757,1.6335,0.65867,0.80484,0.96361,0.976,0.98647,0.52862,1.58091,0.64171,0.8033,0.00099445,0.00099445,0.00099445
103,976.269,1.62637,0.66256,0.81526,0.95082,0.984,0.9855,0.534,1.58628,0.62877,0.80174,0.000978903,0.000978903,0.000978903
104,985.288,1.61208,0.67021,0.81763,0.96085,0.98182,0.98605,0.53919,1.53971,0.63279,0.80166,0.000963365,0.000963365,0.000963365
105,994.213,1.59035,0.65062,0.81231,0.95319,0.97738,0.98226,0.5171,1.62065,0.65186,0.80755,0.000947837,0.000947837,0.000947837
106,1003.21,1.61981,0.65418,0.8128,0.95502,0.98133,0.98322,0.53961,1.56519,0.6312,0.80725,0.000932325,0.000932325,0.000932325
107,1012.16,1.60884,0.64167,0.81971,0.95221,0.96533,0.98104,0.52273,1.6169,0.6505,0.80943,0.000916833,0.000916833,0.000916833
108,1021.04,1.61003,0.66326,0.81526,0.96701,0.976,0.98884,0.53424,1.57524,0.6181,0.80622,0.000901363,0.000901363,0.000901363
109,1031.01,1.60257,0.65505,0.79856,0.95712,0.968,0.98236,0.54302,1.56799,0.62986,0.80579,0.00088592,0.00088592,0.00088592
110,1040.26,1.58807,0.64745,0.79982,0.96723,0.98133,0.98987,0.53322,1.54972,0.63441,0.79864,0.000870508,0.000870508,0.000870508
111,1049.3,1.57358,0.644,0.80781,0.94073,0.97348,0.98259,0.53515,1.55393,0.61705,0.80746,0.00085513,0.00085513,0.00085513
112,1058.29,1.56452,0.62451,0.81288,0.96122,0.984,0.98709,0.53533,1.5649,0.62818,0.80392,0.00083979,0.00083979,0.00083979
113,1067.45,1.60099,0.64517,0.80989,0.96067,0.97067,0.98447,0.52087,1.60585,0.6464,0.80747,0.000824492,0.000824492,0.000824492
114,1076.62,1.58338,0.64422,0.81321,0.96622,0.97333,0.98319,0.53499,1.58387,0.62994,0.80588,0.000809241,0.000809241,0.000809241
115,1085.65,1.60183,0.63064,0.82089,0.96138,0.97333,0.97969,0.51171,1.6332,0.63833,0.80739,0.000794038,0.000794038,0.000794038
116,1094.75,1.571,0.63561,0.8097,0.96542,0.96778,0.97559,0.52848,1.55894,0.63711,0.80448,0.000778889,0.000778889,0.000778889
117,1104.09,1.55406,0.64724,0.81549,0.9682,0.968,0.98152,0.5194,1.62567,0.65873,0.80397,0.000763797,0.000763797,0.000763797
118,1113.12,1.56333,0.65174,0.81712,0.95886,0.968,0.97079,0.52821,1.56952,0.64075,0.80287,0.000748766,0.000748766,0.000748766
119,1122.14,1.56717,0.63115,0.81205,0.95254,0.96328,0.96342,0.49799,1.68116,0.63527,0.80308,0.000733799,0.000733799,0.000733799
120,1131.16,1.58987,0.64425,0.81973,0.97058,0.976,0.9794,0.52932,1.56923,0.62633,0.81073,0.0007189,0.0007189,0.0007189
121,1140.52,1.59385,0.64862,0.81175,0.95984,0.976,0.98649,0.51473,1.58676,0.64829,0.80863,0.000704073,0.000704073,0.000704073
122,1149.95,1.58111,0.6391,0.82306,0.96521,0.98933,0.9904,0.53554,1.56922,0.61313,0.80346,0.000689322,0.000689322,0.000689322
123,1159.61,1.54639,0.63102,0.80298,0.966,0.98499,0.99036,0.53775,1.58548,0.61599,0.80135,0.000674649,0.000674649,0.000674649
124,1169.68,1.54612,0.61936,0.81495,0.9632,0.97729,0.98322,0.53667,1.5638,0.62633,0.80508,0.00066006,0.00066006,0.00066006
125,1180.91,1.58502,0.63381,0.81344,0.97101,0.98238,0.99015,0.52266,1.61051,0.62395,0.80358,0.000645557,0.000645557,0.000645557
126,1191.55,1.59432,0.62352,0.79278,0.9683,0.97737,0.98532,0.52882,1.58093,0.61355,0.80572,0.000631143,0.000631143,0.000631143
127,1202.14,1.59528,0.63689,0.81216,0.96821,0.97458,0.98351,0.52093,1.60213,0.62142,0.80866,0.000616824,0.000616824,0.000616824
128,1211.67,1.55004,0.61224,0.80329,0.9622,0.984,0.98613,0.53594,1.57119,0.61148,0.80037,0.000602601,0.000602601,0.000602601
129,1221.01,1.53001,0.62457,0.81379,0.95556,0.97476,0.98058,0.53395,1.54316,0.61544,0.80199,0.000588479,0.000588479,0.000588479
130,1229.79,1.58458,0.6161,0.79659,0.95428,0.976,0.9837,0.5214,1.61548,0.62943,0.80187,0.00057446,0.00057446,0.00057446
131,1238.53,1.53598,0.61229,0.81069,0.94831,0.97849,0.98388,0.52852,1.55011,0.61348,0.80411,0.000560549,0.000560549,0.000560549
132,1247.43,1.5716,0.62225,0.80727,0.95115,0.98656,0.98389,0.51951,1.5986,0.61376,0.80587,0.000546749,0.000546749,0.000546749
133,1256.16,1.53382,0.60391,0.8215,0.96607,0.97067,0.98167,0.53155,1.58676,0.62343,0.80769,0.000533064,0.000533064,0.000533064
134,1265.14,1.51591,0.60615,0.81437,0.96916,0.97333,0.98797,0.53069,1.57565,0.61421,0.8014,0.000519496,0.000519496,0.000519496
135,1274.12,1.54427,0.6132,0.81243,0.96563,0.976,0.98573,0.53381,1.57349,0.61094,0.80235,0.000506049,0.000506049,0.000506049
136,1282.98,1.52151,0.62034,0.80754,0.96339,0.984,0.98868,0.5343,1.60172,0.62344,0.80034,0.000492726,0.000492726,0.000492726
137,1292.04,1.50952,0.62484,0.79957,0.96842,0.98133,0.98466,0.5419,1.57176,0.62334,0.79833,0.000479531,0.000479531,0.000479531
138,1301.19,1.5318,0.61613,0.80583,0.95737,0.976,0.98163,0.53409,1.59962,0.62306,0.80386,0.000466467,0.000466467,0.000466467
139,1310.65,1.52028,0.60571,0.80344,0.96819,0.97406,0.9863,0.54796,1.56558,0.60036,0.80436,0.000453537,0.000453537,0.000453537
140,1320.11,1.5179,0.60734,0.81211,0.96587,0.98107,0.98743,0.5337,1.60728,0.61353,0.80412,0.000440745,0.000440745,0.000440745
141,1329.55,1.52327,0.61333,0.8074,0.96331,0.9803,0.98557,0.53782,1.54797,0.6107,0.80697,0.000428093,0.000428093,0.000428093
142,1339.35,1.535,0.61985,0.80554,0.95579,0.97997,0.98595,0.5333,1.58368,0.62394,0.80239,0.000415584,0.000415584,0.000415584
143,1348.88,1.53631,0.61056,0.80367,0.95982,0.984,0.9875,0.53412,1.57268,0.60292,0.80309,0.000403222,0.000403222,0.000403222
144,1358.22,1.52442,0.61379,0.80598,0.96419,0.98933,0.99142,0.52918,1.59198,0.60927,0.8026,0.00039101,0.00039101,0.00039101
145,1368.02,1.54092,0.61407,0.80301,0.96078,0.9799,0.98266,0.5312,1.57143,0.61775,0.80229,0.00037895,0.00037895,0.00037895
146,1377.34,1.52761,0.6175,0.79924,0.9586,0.98133,0.98864,0.53492,1.57096,0.62688,0.80422,0.000367046,0.000367046,0.000367046
147,1386.8,1.50906,0.60201,0.81102,0.95266,0.98933,0.98628,0.52206,1.60579,0.62283,0.80122,0.000355301,0.000355301,0.000355301
148,1396.74,1.55378,0.60284,0.80739,0.97592,0.97255,0.98442,0.53016,1.59642,0.61753,0.80243,0.000343718,0.000343718,0.000343718
149,1406.26,1.51375,0.61315,0.81116,0.96567,0.9752,0.98422,0.53334,1.55852,0.613,0.80422,0.000332298,0.000332298,0.000332298
150,1415.52,1.50081,0.60035,0.80318,0.96089,0.98275,0.98303,0.53601,1.57113,0.60651,0.79996,0.000321046,0.000321046,0.000321046
151,1425.4,1.5158,0.61835,0.80631,0.97192,0.984,0.98782,0.52798,1.58262,0.61449,0.79976,0.000309964,0.000309964,0.000309964
152,1434.93,1.52086,0.61457,0.80251,0.95685,0.97867,0.9784,0.52912,1.57143,0.61016,0.80043,0.000299055,0.000299055,0.000299055
153,1444.47,1.51474,0.60387,0.81301,0.97597,0.97473,0.98597,0.52991,1.60446,0.60958,0.80289,0.000288321,0.000288321,0.000288321
154,1453.81,1.49258,0.60025,0.81666,0.97561,0.98133,0.9894,0.53482,1.58877,0.60554,0.80555,0.000277765,0.000277765,0.000277765
155,1463.45,1.50835,0.60248,0.80436,0.97035,0.97867,0.98625,0.53666,1.5702,0.60512,0.80392,0.00026739,0.00026739,0.00026739
156,1473.11,1.52389,0.60496,0.80003,0.97609,0.97966,0.98792,0.53738,1.56309,0.6099,0.80229,0.000257198,0.000257198,0.000257198
157,1482.06,1.4842,0.59845,0.80874,0.97344,0.97725,0.98536,0.53866,1.57126,0.60623,0.80193,0.000247192,0.000247192,0.000247192
158,1491.49,1.5212,0.5985,0.8064,0.96971,0.97867,0.98578,0.52758,1.60936,0.6096,0.79907,0.000237374,0.000237374,0.000237374
159,1500.88,1.48957,0.59666,0.80247,0.97528,0.98133,0.98838,0.52973,1.57918,0.60942,0.80117,0.000227747,0.000227747,0.000227747
160,1510.04,1.49419,0.59727,0.80421,0.97025,0.976,0.98443,0.53259,1.58384,0.60799,0.80337,0.000218312,0.000218312,0.000218312
161,1519.73,1.47471,0.59052,0.80171,0.97409,0.97867,0.98577,0.53948,1.56281,0.6051,0.80401,0.000209073,0.000209073,0.000209073
162,1529.98,1.48809,0.58981,0.79288,0.97431,0.98133,0.98539,0.53174,1.58755,0.60845,0.80156,0.000200032,0.000200032,0.000200032
163,1539.35,1.52441,0.59949,0.7853,0.96838,0.97994,0.97994,0.5286,1.60069,0.60864,0.80129,0.00019119,0.00019119,0.00019119
164,1549.22,1.47977,0.59242,0.80359,0.96689,0.97867,0.9794,0.53267,1.5941,0.60526,0.80131,0.000182551,0.000182551,0.000182551
165,1559.48,1.48058,0.58385,0.80325,0.9682,0.98133,0.985,0.53004,1.59434,0.60724,0.80258,0.000174115,0.000174115,0.000174115
166,1568.89,1.47923,0.58988,0.80979,0.96473,0.97867,0.98006,0.5347,1.58214,0.60233,0.80215,0.000165886,0.000165886,0.000165886
167,1578.1,1.50054,0.59089,0.80854,0.9669,0.98133,0.98567,0.53035,1.59224,0.60136,0.80366,0.000157865,0.000157865,0.000157865
168,1588,1.50082,0.59968,0.7981,0.97265,0.98667,0.98757,0.5379,1.56936,0.60424,0.80285,0.000150055,0.000150055,0.000150055
169,1597.41,1.5085,0.60711,0.80625,0.97308,0.98667,0.98813,0.536,1.56761,0.6069,0.80168,0.000142456,0.000142456,0.000142456
